name,opening,revenue ,views,screen,nationality
파묘,2024-02-22,115148478414 ,11913725 ,2355 ,한국
범죄도시4,2024-04-24,110038420734 ,11501621 ,2980 ,한국
인사이드 아웃 2,2024-06-12,84509284036 ,8799013 ,2619 ,미국
베테랑2,2024-09-13,72474035814 ,7525339 ,2691 ,한국
파일럿,2024-07-31,43204079201 ,4718036 ,1956 ,한국
웡카,2024-01-31,33956553189 ,3531468 ,1753 ,미국
모아나 2,2024-11-27,31118051070 ,3372815 ,1985 ,미국
소방관,2024-12-04,31161375290 ,3317296 ,1414 ,한국
하얼빈,2024-12-24,26249028320 ,2755236 ,2125 ,한국
탈주,2024-07-03,24230164596 ,2560938 ,1234 ,한국
위키드,2024-11-20,20277702850 ,2059163 ,1803 ,미국
듄: 파트2,2024-02-28,23639319949 ,2016202 ,1544 ,미국
에이리언: 로물루스,2024-08-14,20443955430 ,2002033 ,1436 ,미국
데드풀과 울버린,2024-07-24,20489875630 ,1977010 ,1948 ,미국
핸섬가이즈,2024-06-26,16581767601 ,1774645 ,965 ,한국
하이재킹,2024-06-21,16842739086 ,1773930 ,1155 ,한국
쿵푸팬더4,2024-04-10,16534473152 ,1771601 ,2311 ,미국
베놈: 라스트 댄스,2024-10-23,17253839788 ,1763723 ,1663 ,미국
시민덕희,2024-01-24,16174180097 ,1715064 ,1272 ,한국
퓨리오사: 매드맥스 사가,2024-05-22,16489584088 ,1605454 ,1442 ,미국
슈퍼배드 4,2024-07-24,14202093607 ,1562001 ,1178 ,미국
외계+인 2부,2024-01-10,13792326337 ,1430121 ,1390 ,한국
위시,2024-01-03,13379469253 ,1403386 ,1421 ,미국
서울의 봄,2023-11-22,12576460302 ,1273301 ,2328 ,한국
사랑의 하츄핑,2024-08-07,11107794292 ,1239178 ,1159 ,한국
그녀가 죽었다,2024-05-15,11808970596 ,1237103 ,1008 ,한국
노량: 죽음의 바다,2023-12-20,10975651435 ,1135265 ,2196 ,한국
히든페이스,2024-11-20,9591875140 ,1012014 ,1072 ,한국
댓글부대,2024-03-27,9240359711 ,972991 ,1228 ,한국
글래디에이터 Ⅱ,2024-11-13,8874847640 ,909861 ,1769 ,미국
혹성탈출: 새로운 시대,2024-05-08,9177184782 ,907155 ,1184 ,미국
대도시의 사랑법,2024-10-01,8303965930 ,879109 ,869 ,한국
청설,2024-11-06,7484993310 ,802133 ,1060 ,한국
명탐정 코난: 100만 달러의 펜타그램,2024-07-17,7334914832 ,753606 ,1089 ,일본
극장판 하이큐!! 쓰레기장의 결전,2024-05-15,7634168967 ,744549 ,1212 ,일본
행복의 나라,2024-08-14,6564144142 ,710620 ,1096 ,한국
탈출: 프로젝트 사일런스,2024-07-12,6704394362 ,687918 ,1078 ,한국
와일드 로봇,2024-10-01,6189375745 ,682585 ,1062 ,미국
무파사: 라이온 킹,2024-12-18,6543943550 ,656645 ,1243 ,미국
보통의 가족,2024-10-16,6047884570 ,650336 ,1277 ,한국
원더랜드,2024-06-05,5914436710 ,625463 ,1165 ,한국
트위스터스,2024-08-14,6433926349 ,620240 ,874 ,미국
조커: 폴리 아 되,2024-10-01,6385592320 ,612831 ,1385 ,미국
아마존 활명수,2024-10-30,5390831280 ,606612 ,1479 ,한국
극장판 짱구는 못말려: 우리들의 공룡일기,2024-12-18,5346417380 ,567725 ,880 ,일본
콰이어트 플레이스: 첫째 날,2024-06-26,5381760525 ,552619 ,942 ,미국
설계자,2024-05-29,4728639867 ,525369 ,1345 ,한국
고질라 X 콩: 뉴 엠파이어,2024-03-27,5110301281 ,510292 ,995 ,미국
빅토리,2024-08-14,4546643767 ,508467 ,789 ,한국
"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",2024-02-14,5625264900 ,497320 ,393 ,일본
늘봄가든,2024-08-21,3664813577 ,380376 ,875 ,한국
신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,2023-12-22,3636204547 ,377188 ,883 ,일본
도그데이즈,2024-02-07,3574759608 ,368095 ,847 ,한국
가필드 더 무비,2024-05-15,3184542165 ,362396 ,873 ,미국
트랜스포머 ONE,2024-09-25,3371848455 ,361218 ,1060 ,미국
임영웅│아임 히어로 더 스타디움,2024-08-28,10117142500 ,357858 ,224 ,한국
인투 더 월드,2024-01-10,3116694916 ,342623 ,839 ,미국
1승,2024-12-04,2813553530 ,322017 ,995 ,한국
대가족,2024-12-11,2796081600 ,316473 ,939 ,한국
룩백,2024-09-05,2904708614 ,301892 ,206 ,일본
극장판 스파이 패밀리 코드 : 화이트,2024-03-20,2818845965 ,282867 ,917 ,일본
브레드이발소: 빵스타의 탄생,2024-09-14,2288885000 ,266128 ,400 ,한국
"안녕, 할부지",2024-09-04,2432238239 ,264244 ,1021 ,한국
리볼버,2024-08-07,2334550653 ,249410 ,861 ,한국
데드맨,2024-02-07,2272468704 ,238235 ,800 ,한국
스턴트맨,2024-05-01,2180917062 ,214296 ,801 ,미국
브레드이발소: 셀럽 인 베이커리타운,2024-03-01,1730786580 ,202361 ,342 ,한국
사흘,2024-11-14,1878697640 ,200490 ,836 ,한국
오멘: 저주의 시작,2024-04-03,1859296182 ,180695 ,644 ,미국
"포켓몬스터: 성도지방 이야기, 최종장",2024-05-01,1386954057 ,157463 ,710 ,일본
아쿠아맨과 로스트 킹덤,2023-12-20,1530602884 ,155026 ,965 ,미국
나쁜 녀석들: 라이드 오어 다이,2024-06-06,1408471780 ,142382 ,767 ,미국
아가일,2024-02-07,1442627957 ,140533 ,841 ,미국
패스트 라이브즈,2024-03-06,1178507399 ,126555 ,613 ,미국
필사의 추격,2024-08-21,1055865807 ,121335 ,634 ,한국
비틀쥬스 비틀쥬스,2024-09-04,1145904006 ,115966 ,787 ,미국
