老磊,0-9技,10-19技,20-29技,30-39技,40-49技,50-59技,60-69技,70-79技,80技捞惑,钦拌
20200120,0,0,0,1,0,0,0,0,0,1
20200121,0,0,0,0,0,0,0,0,0,0
20200122,0,0,0,0,0,0,0,0,0,0
20200123,0,0,0,0,0,0,0,0,0,0
20200124,0,0,0,0,0,1,0,0,0,1
20200125,0,0,0,0,0,0,0,0,0,0
20200126,0,0,0,0,0,1,0,0,0,1
20200127,0,0,0,0,0,1,0,0,0,1
20200128,0,0,0,0,0,0,0,0,0,0
20200129,0,0,0,0,0,0,0,0,0,0
20200130,0,0,1,1,0,1,0,0,0,3
20200131,0,0,2,0,0,1,1,0,0,4
20200201,0,0,0,0,1,0,0,0,0,1
20200202,0,0,1,0,2,0,0,0,0,3
20200203,0,0,0,0,0,0,0,0,0,0
20200204,0,0,0,0,1,0,0,0,0,1
20200205,0,0,1,2,1,1,0,0,0,5
20200206,0,0,1,0,1,1,0,0,0,3
20200207,0,0,0,0,0,0,0,0,0,0
20200208,0,0,0,0,0,0,0,0,0,0
20200209,0,0,0,1,0,1,0,1,0,3
20200210,0,0,0,1,0,0,0,0,0,1
20200211,0,0,0,0,0,0,0,0,0,0
20200212,0,0,0,0,0,0,0,0,0,0
20200213,0,0,0,0,0,0,0,0,0,0
20200214,0,0,0,0,0,0,0,0,0,0
20200215,0,0,0,0,0,0,0,0,0,0
20200216,0,0,0,0,0,0,1,0,1,2
20200217,0,0,0,0,0,0,0,0,0,0
20200218,0,1,0,0,0,0,1,0,0,2
20200219,0,0,8,3,4,11,4,4,0,34
20200220,0,1,4,3,2,4,2,0,0,16
20200221,0,1,16,7,17,16,10,6,1,74
20200222,0,5,24,19,28,59,47,7,1,190
20200223,1,4,53,21,37,51,30,10,3,210
20200224,1,6,46,34,32,49,28,9,2,207
20200225,0,6,38,19,20,26,17,3,1,130
20200226,1,7,78,32,32,43,43,12,5,253
20200227,6,20,167,49,59,80,42,21,5,449
20200228,4,24,114,59,66,87,44,19,10,427
20200229,6,24,302,108,134,149,120,41,25,909
20200301,7,42,200,66,81,103,63,24,9,595
20200302,5,29,181,82,113,146,82,33,15,686
20200303,3,37,179,73,81,118,65,32,12,600
20200304,0,29,158,53,79,100,47,35,15,516
