year,month,peak_power,avg_temp
2023,1,79463,-0.6
2023,2,76183,2.5
2023,3,68151,9.4
2023,4,64932,13.1
2023,5,65016,17.9
2023,6,70645,22.3
2023,7,79213,25.5
2023,8,82736,26.4
2023,9,73483,22.6
2023,10,65754,14.7
2023,11,71252,7.9
2023,12,76530,2.4
2022,1,79797,-0.8
2022,2,77278,-0.1
2022,3,71145,7.7
2022,4,66096,13.8
2022,5,66243,18
2022,6,71805,22.4
2022,7,82007,25.9
2022,8,80375,25.3
2022,9,70674,21
2022,10,66443,14
2022,11,68926,9.6
2022,12,82176,-1.4
2021,1,77620,-0.6
2021,2,72010,2.5
2021,3,67268,9.4
2021,4,63917,13.1
2021,5,63388,17.9
2021,6,68857,22.3
2021,7,81158,25.5
2021,8,77300,26.4
2021,9,69327,22.6
2021,10,67052,14.7
2021,11,70028,7.9
2021,12,78180,2.4
