시점,행정구역별(읍면동),남자(명),여자(명)
2015,서울특별시,4859535,5044777
2015,부산광역시,1701347,1747390
2015,대구광역시,1228511,1237541
2015,인천광역시,1455017,1435434
2015,광주광역시,748867,754014
2015,대전광역시,772243,766151
2015,울산광역시,606924,559691
2015,세종특별자치시,103210,100878
2015,경기도,6309661,6169400
2015,강원도,768241,749799
2015,충청북도,805377,783970
2015,충청남도,1078310,1029492
2015,전라북도,915729,918385
2015,전라남도,900967,898077
2015,경상북도,1351037,1329257
2015,경상남도,1698737,1635787
2015,제주특별자치도,304789,300830
2016,서울특별시,4799115,5006391
2016,부산광역시,1694026,1746458
2016,대구광역시,1223733,1237269
2016,인천광역시,1465699,1447325
2016,광주광역시,747303,754254
2016,대전광역시,770971,764474
2016,울산광역시,605618,560415
2016,세종특별자치시,122648,119859
2016,경기도,6405301,6266655
2016,강원도,769461,752290
2016,충청북도,814049,789355
2016,충청남도,1091091,1041475
2016,전라북도,915493,917675
2016,전라남도,901500,894517
2016,경상북도,1354997,1327172
2016,경상남도,1701849,1637784
2016,제주특별자치도,314133,309199
2017,서울특별시,4757642,4984229
2017,부산광역시,1680933,1735985
2017,대구광역시,1218326,1234715
2017,인천광역시,1472081,1453886
2017,광주광역시,745122,751050
2017,대전광역시,765718,760131
2017,울산광역시,600093,556984
2017,세종특별자치시,139347,137242
2017,경기도,6502723,6348878
2017,강원도,769043,752343
2017,충청북도,818500,792509
2017,충청남도,1108610,1053816
2017,전라북도,911592,914582
2017,전라남도,899077,893242
2017,경상북도,1353083,1323975
2017,경상남도,1702150,1643143
2017,제주특별자치도,324015,317742
2018,서울특별시,4718972,4954964
2018,부산광역시,1668984,1726294
2018,대구광역시,1212777,1231635
2018,인천광역시,1476097,1460020
2018,광주광역시,741728,748364
2018,대전광역시,758035,753179
2018,울산광역시,595795,554321
2018,세종특별자치시,157289,155085
2018,경기도,6635106,6468082
2018,강원도,768604,751787
2018,충청북도,826183,794752
2018,충청남도,1119996,1061420
2018,전라북도,907683,910474
2018,전라남도,900154,890198
2018,경상북도,1352869,1320033
2018,경상남도,1703904,1646446
2018,제주특별자치도,333019,325263
2019,서울특별시,4690440,4949101
2019,부산광역시,1655566,1717126
2019,대구광역시,1203754,1226186
2019,인천광역시,1484528,1467709
2019,광주광역시,741287,748443
2019,대전광역시,751585,747254
2019,울산광역시,591965,551727
2019,세종특별자치시,170148,167988
2019,경기도,6740448,6560452
2019,강원도,767717,752410
2019,충청북도,832543,796800
2019,충청남도,1124678,1063971
2019,전라북도,902704,904719
2019,전라남도,901813,885730
2019,경상북도,1352404,1315750
2019,경상남도,1703892,1643317
2019,제주특별자치도,336598,328450
2020,서울특별시,4647733,4938462
2020,부산광역시,1638751,1710265
2020,대구광역시,1190271,1220429
2020,인천광역시,1477064,1468390
2020,광주광역시,734140,743433
2020,대전광역시,744349,744086
2020,울산광역시,585978,549445
2020,세종특별자치시,177939,175994
2020,경기도,6828367,6683309
2020,강원도,767674,754089
2020,충청북도,833819,798269
2020,충청남도,1117575,1059061
2020,전라북도,899058,903708
2020,전라남도,903281,885526
2020,경상북도,1338823,1305934
2020,경상남도,1692212,1640844
2020,제주특별자치도,338173,332685
