raceId,driverId,lap,position,time,time_seconds
1051,1,1,1,1:33.760,93.75999999999999
1051,1,2,1,1:30.198,90.19800000000001
1051,1,3,1,1:30.575,90.575
1051,1,4,1,1:28.807,88.807
1051,1,5,1,1:28.815,88.815
1051,1,6,1,1:28.301,88.301
1051,1,7,1,1:28.207,88.207
1051,1,8,1,1:28.359,88.35900000000001
1051,1,9,1,1:28.127,88.127
1051,1,10,1,1:27.906,87.906
1051,1,11,1,1:28.080,88.08
1051,1,12,1,1:27.943,87.943
1051,1,13,1,1:27.982,87.982
1051,1,14,1,1:27.943,87.943
1051,1,15,1,1:27.779,87.779
1051,1,16,1,1:27.625,87.625
1051,1,17,1,1:27.514,87.514
1051,1,18,1,1:47.391,107.39099999999999
1051,1,19,1,1:34.158,94.158
1051,1,20,1,1:27.495,87.495
1051,1,21,1,1:27.773,87.773
1051,1,22,1,1:27.145,87.145
1051,1,23,1,1:27.423,87.423
1051,1,24,1,1:27.862,87.862
1051,1,25,1,1:26.996,86.996
1051,1,26,1,1:27.018,87.018
1051,1,27,1,1:27.529,87.529
1051,1,28,1,1:27.477,87.477
1051,1,29,1,1:26.840,86.84
1051,1,30,1,1:27.158,87.158
1051,1,31,1,1:27.742,87.742
1051,1,32,1,1:27.074,87.074
1051,1,33,1,1:26.470,86.47
1051,1,34,1,1:26.982,86.982
1051,1,35,1,1:26.554,86.554
1051,1,36,1,1:26.669,86.669
1051,1,37,1,1:26.501,86.501
1051,1,38,1,1:26.919,86.919
1051,1,39,1,1:26.720,86.72
1051,1,40,1,1:26.876,86.876
1051,1,41,1,1:26.648,86.648
1051,1,42,1,1:46.851,106.851
1051,1,43,1,1:32.048,92.048
1051,1,44,1,1:26.361,86.361
1051,1,45,1,1:25.295,85.295
1051,1,46,1,1:26.043,86.043
1051,1,47,1,1:25.923,85.923
1051,1,48,1,1:25.963,85.963
1051,1,49,1,1:26.499,86.499
1051,1,50,1,1:25.084,85.084
1051,1,51,1,1:25.978,85.97800000000001
1051,1,52,1,1:25.668,85.668
1051,1,53,1,1:25.956,85.956
1051,1,54,1,1:26.394,86.394
1051,1,55,1,1:36.904,96.904
1051,1,56,1,1:49.716,109.71600000000001
1051,1,57,1,1:32.447,92.447
1051,4,1,2,1:35.613,95.613
1051,4,2,2,1:30.573,90.57300000000001
1051,4,3,2,1:30.406,90.406
1051,4,4,2,1:31.012,91.012
1051,4,5,3,1:31.214,91.214
1051,4,6,3,1:30.801,90.801
1051,4,7,3,1:31.072,91.072
1051,4,8,3,1:30.974,90.974
1051,4,9,3,1:30.733,90.733
1051,4,10,3,1:30.619,90.619
1051,4,11,3,1:30.522,90.52199999999999
1051,4,12,3,1:30.283,90.283
1051,4,13,3,1:30.312,90.312
1051,4,14,3,1:29.924,89.924
1051,4,15,3,1:29.528,89.52799999999999
1051,4,16,3,1:29.341,89.34100000000001
1051,4,17,3,1:29.298,89.298
1051,4,18,3,1:29.824,89.824
1051,4,19,3,1:28.901,88.901
1051,4,20,3,1:28.875,88.875
1051,4,21,3,1:28.246,88.246
1051,4,22,3,1:28.162,88.162
1051,4,23,7,1:49.161,109.161
1051,4,24,7,1:35.017,95.017
1051,4,25,6,1:28.539,88.539
1051,4,26,6,1:28.536,88.536
1051,4,27,4,1:29.433,89.43299999999999
1051,4,28,4,1:28.483,88.483
1051,4,29,5,1:29.846,89.846
1051,4,30,5,1:28.728,88.72800000000001
1051,4,31,5,1:28.397,88.39699999999999
1051,4,32,5,1:28.113,88.113
1051,4,33,4,1:31.993,91.993
1051,4,34,4,1:28.402,88.402
1051,4,35,4,1:28.021,88.021
1051,4,36,4,1:28.176,88.176
1051,4,37,4,1:27.974,87.974
1051,4,38,4,1:27.878,87.878
1051,4,39,4,1:27.484,87.48400000000001
1051,4,40,4,1:27.385,87.385
1051,4,41,3,1:27.064,87.064
1051,4,42,3,1:26.761,86.761
1051,4,43,3,1:27.661,87.661
1051,4,44,3,1:27.179,87.179
1051,4,45,3,1:26.967,86.967
1051,4,46,3,1:27.232,87.232
1051,4,47,3,1:27.274,87.274
1051,4,48,3,1:26.682,86.682
1051,4,49,3,1:26.859,86.85900000000001
1051,4,50,3,1:27.354,87.354
1051,4,51,3,1:27.692,87.69200000000001
1051,4,52,3,1:27.499,87.499
1051,4,53,3,1:26.980,86.98
1051,4,54,3,1:32.474,92.47399999999999
1051,4,55,3,1:49.473,109.473
1051,4,56,3,1:36.640,96.64
1051,4,57,3,1:28.338,88.338
1051,8,1,12,1:42.464,102.464
1051,8,2,12,1:32.653,92.65299999999999
1051,8,3,12,1:31.463,91.463
1051,8,4,12,1:31.059,91.059
1051,8,5,12,1:31.834,91.834
1051,8,6,13,1:33.021,93.021
1051,8,7,13,1:31.264,91.264
1051,8,8,13,1:32.128,92.128
1051,8,9,12,1:31.909,91.90899999999999
1051,8,10,19,1:52.005,112.005
1051,8,11,20,1:34.528,94.52799999999999
1051,8,12,20,1:30.233,90.233
1051,8,13,20,1:30.455,90.455
1051,8,14,20,1:30.333,90.333
1051,8,15,19,1:30.132,90.132
1051,8,16,19,1:29.891,89.89099999999999
1051,8,17,18,1:30.003,90.003
1051,8,18,17,1:30.097,90.09700000000001
1051,8,19,17,1:29.983,89.983
1051,8,20,17,1:30.171,90.17099999999999
1051,8,21,17,1:31.176,91.176
1051,8,22,15,1:29.510,89.51
1051,8,23,15,1:29.880,89.88
1051,8,24,15,1:29.961,89.961
1051,8,25,15,1:29.441,89.441
1051,8,26,14,1:29.398,89.398
1051,8,27,13,1:29.212,89.212
1051,8,28,12,1:30.125,90.125
1051,8,29,12,1:29.695,89.695
1051,8,30,18,1:50.600,110.6
1051,8,31,19,1:35.510,95.50999999999999
1051,8,32,19,1:28.953,88.953
1051,8,33,18,1:29.055,89.055
1051,8,34,17,1:28.376,88.376
1051,8,35,17,1:29.129,89.129
1051,8,36,17,1:28.793,88.793
1051,8,37,17,1:27.791,87.791
1051,8,38,17,1:28.359,88.35900000000001
1051,8,39,17,1:28.588,88.588
1051,8,40,17,1:28.440,88.44
1051,8,41,17,1:28.785,88.785
1051,8,42,16,1:28.048,88.048
1051,8,43,16,1:28.785,88.785
1051,8,44,16,1:28.188,88.188
1051,8,45,16,1:28.112,88.112
1051,8,46,16,1:27.673,87.673
1051,8,47,16,1:27.687,87.687
1051,8,48,16,1:28.479,88.479
1051,8,49,14,1:26.898,86.898
1051,8,50,14,1:27.515,87.515
1051,8,51,14,1:27.184,87.184
1051,8,52,14,1:27.305,87.305
1051,8,53,14,1:26.358,86.358
1051,8,54,14,1:47.675,107.675
1051,8,55,14,1:42.302,102.30199999999999
1051,8,56,14,1:26.594,86.594
1051,20,1,17,1:44.759,104.759
1051,20,2,17,1:33.623,93.62299999999999
1051,20,3,17,1:32.053,92.053
1051,20,4,17,1:31.574,91.574
1051,20,5,17,1:31.547,91.547
1051,20,6,17,1:31.810,91.81
1051,20,7,17,1:32.115,92.11500000000001
1051,20,8,17,1:32.388,92.388
1051,20,9,16,1:32.544,92.544
1051,20,10,15,1:31.382,91.382
1051,20,11,15,1:31.343,91.343
1051,20,12,15,1:31.088,91.088
1051,20,13,14,1:31.138,91.138
1051,20,14,13,1:30.064,90.064
1051,20,15,12,1:30.969,90.969
1051,20,16,12,1:29.305,89.305
1051,20,17,12,1:29.435,89.435
1051,20,18,12,1:29.315,89.315
1051,20,19,12,1:29.375,89.375
1051,20,20,11,1:29.328,89.328
1051,20,21,11,1:29.362,89.362
1051,20,22,11,1:29.339,89.339
1051,20,23,11,1:30.862,90.862
1051,20,24,10,1:29.916,89.916
1051,20,25,9,1:30.272,90.27199999999999
1051,20,26,15,1:50.561,110.561
1051,20,27,16,1:33.904,93.904
1051,20,28,15,1:28.405,88.405
1051,20,29,14,1:28.931,88.931
1051,20,30,13,1:29.334,89.334
1051,20,31,13,1:29.879,89.879
1051,20,32,13,1:28.231,88.231
1051,20,33,12,1:28.534,88.53399999999999
1051,20,34,11,1:28.405,88.405
1051,20,35,11,1:30.177,90.17699999999999
1051,20,36,10,1:28.213,88.213
1051,20,37,10,1:28.029,88.029
1051,20,38,10,1:27.714,87.714
1051,20,39,10,1:27.447,87.447
1051,20,40,10,1:27.144,87.144
1051,20,41,10,1:27.416,87.416
1051,20,42,10,1:27.182,87.182
1051,20,43,10,1:27.214,87.214
1051,20,44,10,1:27.140,87.14
1051,20,45,10,1:27.424,87.424
1051,20,46,10,1:27.038,87.038
1051,20,47,10,1:27.078,87.078
1051,20,48,10,1:27.058,87.05799999999999
1051,20,49,10,1:27.134,87.134
1051,20,50,9,1:28.666,88.666
1051,20,51,9,1:27.387,87.387
1051,20,52,9,1:26.952,86.952
1051,20,53,9,1:26.434,86.434
1051,20,54,10,1:41.387,101.387
1051,20,55,10,1:49.083,109.083
1051,20,56,10,1:29.660,89.66
1051,815,1,9,1:41.182,101.182
1051,815,2,9,1:31.896,91.896
1051,815,3,9,1:31.114,91.114
1051,815,4,9,1:31.099,91.099
1051,815,5,8,1:29.792,89.792
1051,815,6,8,1:29.917,89.917
1051,815,7,8,1:31.122,91.122
1051,815,8,7,1:30.318,90.318
1051,815,9,6,1:29.833,89.833
1051,815,10,6,1:31.107,91.107
1051,815,11,6,1:30.629,90.629
1051,815,12,6,1:31.140,91.14
1051,815,13,5,1:29.051,89.051
1051,815,14,5,1:29.268,89.268
1051,815,15,5,1:29.975,89.975
1051,815,16,4,1:28.667,88.667
1051,815,17,4,1:29.108,89.108
1051,815,18,4,1:28.963,88.963
1051,815,19,11,1:49.096,109.096
1051,815,20,12,1:33.466,93.46600000000001
1051,815,21,12,1:28.183,88.18299999999999
1051,815,22,12,1:29.191,89.191
1051,815,23,10,1:27.735,87.735
1051,815,24,9,1:30.183,90.18299999999999
1051,815,25,7,1:27.596,87.596
1051,815,26,7,1:28.373,88.373
1051,815,27,5,1:29.628,89.628
1051,815,28,5,1:28.182,88.182
1051,815,29,4,1:27.903,87.90299999999999
1051,815,30,4,1:27.980,87.98
1051,815,31,4,1:27.472,87.47200000000001
1051,815,32,4,1:27.657,87.657
1051,815,33,3,1:30.067,90.06700000000001
1051,815,34,3,1:28.477,88.477
1051,815,35,3,1:27.547,87.547
1051,815,36,3,1:27.693,87.693
1051,815,37,3,1:28.184,88.184
1051,815,38,3,1:27.660,87.66
1051,815,39,3,1:28.048,88.048
1051,815,40,3,1:27.403,87.40299999999999
1051,815,41,6,1:47.990,107.99000000000001
1051,815,42,7,1:31.217,91.217
1051,815,43,7,1:25.747,85.747
1051,815,44,7,1:27.106,87.106
1051,815,45,7,1:26.882,86.882
1051,815,46,6,1:26.186,86.186
1051,815,47,5,1:26.389,86.389
1051,815,48,5,1:26.393,86.393
1051,815,49,4,1:25.613,85.613
1051,815,50,4,1:26.309,86.309
1051,815,51,4,1:25.953,85.953
1051,815,52,4,1:25.722,85.72200000000001
1051,815,53,4,1:25.839,85.839
1051,815,54,4,1:33.276,93.27600000000001
1051,815,55,4,1:47.116,107.116
1051,815,56,4,1:34.667,94.667
