"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-01-01 ~ 2024-12-31"
"실거래구분 : 공장창고등(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","매수","매도","계약년월","계약일","지분구분","건축년도","해제사유발생일","거래유형","중개사소재지"
"1","서울특별시 금천구 가산동","집합","470-5","가산디지털1로","준공업","공장","25m미만","128.20"," ","60,000","12","법인","개인","202412","31","","2005","20250106","중개거래","서울 금천구"
"2","서울특별시 금천구 가산동","집합","470-5","가산디지털1로","준공업","공장","25m미만","128.20"," ","60,000","12","법인","개인","202412","31","","2005","-","중개거래","서울 금천구"
"3","서울특별시 금천구 가산동","집합","60-26","디지털로","준공업","공장","25m미만","71.07"," ","49,500","","법인","법인","202412","31","","2023","-","중개거래","서울 금천구"
"4","서울특별시 성동구 성수동1가","집합","13-164","성수일로","준공업","공장","25m미만","102.92"," ","54,000","","법인","법인","202412","30","","2013","-","직거래","-"
"5","서울특별시 성동구 성수동2가","집합","280-21","광나루로6길","준공업","공장","25m미만","68.95"," ","62,000","10","개인","법인","202412","30","","2006","-","직거래","-"
"6","서울특별시 금천구 가산동","집합","371-6","가산디지털1로","준공업","공장","25m미만","105.98"," ","75,200","4","법인","법인","202412","30","","2011","-","중개거래","서울 금천구"
"7","서울특별시 성동구 성수동2가","집합","280-21","광나루로6길","준공업","공장","25m미만","68.95"," ","62,000","10","개인","법인","202412","30","","2006","-","직거래","-"
"8","서울특별시 금천구 가산동","집합","345-50","가산디지털1로","준공업","공장","25m미만","143.65"," ","54,000","11","개인","법인","202412","30","","2010","-","직거래","-"
"9","서울특별시 금천구 가산동","집합","345-13","가산디지털1로","준공업","공장","25m미만","853.50"," ","376,000","15","법인","법인","202412","30","","2009","-","중개거래","경기 시흥시, 서울 강남구"
"10","서울특별시 구로구 구로동","집합","237","디지털로","준공업","공장","25m이상","81.20"," ","55,000","11","법인","법인","202412","30","","2018","-","중개거래","서울 구로구"
"11","서울특별시 금천구 가산동","집합","673","가산디지털1로","준공업","공장","25m미만","29.38"," ","17,500","","개인","개인","202412","27","","2021","-","중개거래","서울 금천구"
"12","서울특별시 금천구 가산동","집합","60-4","디지털로9길","준공업","공장","25m미만","150.93"," ","58,050","9","법인","법인","202412","27","","2001","-","직거래","-"
"13","서울특별시 금천구 가산동","집합","371-37","가산디지털1로","준공업","공장","25m미만","109.55"," ","46,500","3","개인","개인","202412","27","","2010","-","중개거래","서울 금천구"
"14","서울특별시 성북구 길음동","일반","1***","삼양로","제2종일반주거","위험물 저장 및 처리시설","25m미만","126.75","244.70","240,000","","법인","개인","202412","26","","1995","-","중개거래","서울 중구"
