NO,시군구,유형,지번,도로명,용도지역,건축물주용도,도로조건,전용/연면적(㎡),대지면적(㎡),거래금액(만원),층,매수,매도,계약년월,계약일,지분구분,건축년도,해제사유발생일,거래유형,중개사소재지
1,서울특별시 강남구 도곡동,집합,168,언주로,제2종일반주거,판매,25m이상,55.2, ,"169,000",1,개인,개인,202412,31,,2005,-,직거래,-
2,서울특별시 강남구 역삼동,일반,6**,언주로107길,제2종일반주거,제2종근린생활,12m미만,588.72,189.4,"750,000",,개인,개인,202412,31,,1991,20250204,중개거래,서울 강남구
3,서울특별시 강서구 화곡동,집합,425-22,곰달래로,제3종일반주거,제2종근린생활,25m미만,26.65, ,"11,000",2,개인,법인,202412,31,,2015,-,직거래,-
4,서울특별시 양천구 신월동,집합,538-6,신월로15길,제2종일반주거,제2종근린생활,12m미만,23.1, ,"30,000",,개인,개인,202412,31,,2000,-,중개거래,서울 양천구
5,서울특별시 노원구 중계동,집합,512,동일로208길,제3종일반주거,제1종근린생활,25m이상,826.88, ,"6,000",,개인,개인,202412,31,지분,1991,-,직거래,-
6,서울특별시 금천구 독산동,집합,293-5,범안로,일반상업,판매,25m미만,7.36, ,"5,500",,개인,개인,202412,31,지분,1994,-,직거래,-
7,서울특별시 마포구 상암동,집합,1654,월드컵북로,일반상업,제1종근린생활,25m이상,38.22, ,"127,000",1,개인,개인,202412,31,,2007,-,중개거래,서울 마포구
8,서울특별시 동작구 흑석동,집합,335-1,흑석한강로,제3종일반주거,제1종근린생활,25m이상,47.02, ,"43,900",1,개인,개인,202412,31,,2011,-,중개거래,서울 동작구
9,서울특별시 양천구 신정동,집합,1315-9,,일반상업,업무,25m이상,36, ,"37,000",,개인,개인,202412,31,,1981,-,중개거래,서울 양천구
10,서울특별시 영등포구 영등포동3가,집합,09월 13일,영중로,일반상업,판매,25m이상,4.96, ,"2,000",60,법인,개인,202412,31,,2005,-,직거래,-
11,서울특별시 성동구 용답동,집합,228-1,천호대로,준주거,제1종근린생활,25m이상,43.71, ,"11,200",,법인,개인,202412,31,,1990,-,직거래,-
12,서울특별시 양천구 신월동,집합,538-6,신월로15길,제2종일반주거,제2종근린생활,12m미만,31.62, ,"35,000",,개인,개인,202412,31,,2000,-,중개거래,서울 양천구
13,서울특별시 중랑구 중화동,집합,330-108,중랑천로,제2종일반주거,제2종근린생활,8m미만,24.71, ,"21,000",1,개인,개인,202412,31,,2023,-,중개거래,서울 중랑구
14,서울특별시 서초구 서초동,집합,1317-16,,일반상업,기타,25m이상,20.16, ,"32,450",,법인,개인,202412,31,,,-,직거래,-
15,서울특별시 서초구 서초동,집합,1317-16,,일반상업,기타,25m이상,12.53, ,"20,400",,법인,개인,202412,31,,,-,직거래,-
16,서울특별시 서초구 방배동,집합,1038,효령로,제3종일반주거,업무,25m이상,6.33, ,"7,000",,법인,개인,202412,31,,,-,중개거래,서울 서초구
17,서울특별시 서초구 서초동,집합,1317-16,,일반상업,제2종근린생활,25m이상,13.78, ,"25,850",,법인,개인,202412,31,,,-,직거래,-
18,서울특별시 송파구 석촌동,일반,2**,백제고분로40길,제2종일반주거,제1종근린생활,8m미만,708.51,322.7,"470,000",,법인,개인,202412,31,,1991,-,중개거래,서울 송파구
19,서울특별시 서초구 서초동,집합,1317-16,,일반상업,기타,25m이상,12.18, ,"18,750",4,법인,개인,202412,31,,,-,직거래,-
20,서울특별시 서초구 서초동,집합,1317-16,,일반상업,기타,25m이상,20.06, ,"32,450",,법인,개인,202412,31,,,-,직거래,-
21,서울특별시 서초구 서초동,집합,1317-16,,일반상업,기타,25m이상,18.72, ,"27,050",,법인,개인,202412,31,,,-,직거래,-
22,서울특별시 서초구 서초동,집합,1317-16,,일반상업,기타,25m이상,16.56, ,"23,700",,법인,개인,202412,31,,,-,직거래,-
23,서울특별시 서초구 양재동,집합,397-7,논현로5길,제2종일반주거,제1종근린생활,25m미만,29.27, ,"40,500",1,개인,개인,202412,31,,2016,-,중개거래,서울 서초구
